"Volunteer" "Activity" "Variable" "Average"
"86" "5" "WALKING" "timeBodygyroMeanx" -0.0488919896632143
"87" "5" "WALKING" "timeBodygyroMeany" -0.0690135249642857
"88" "5" "WALKING" "timeBodygyroMeanz" 0.0815435495892857
"89" "5" "WALKING" "timeBodygyroStdx" -0.490877497857143
"90" "5" "WALKING" "timeBodygyroStdy" -0.504622029821429
"91" "5" "WALKING" "timeBodygyroStdz" -0.318700615178571
"92" "5" "WALKING" "timeBodygyrojerkMeanx" -0.0888408355267857
"93" "5" "WALKING" "timeBodygyrojerkMeany" -0.0449559531089286
"94" "5" "WALKING" "timeBodygyrojerkMeanz" -0.0482679596035714
"95" "5" "WALKING" "timeBodygyrojerkStdx" -0.357681403285714
"96" "5" "WALKING" "timeBodygyrojerkStdy" -0.57143812375
"97" "5" "WALKING" "timeBodygyrojerkStdz" -0.157682543983929
"98" "5" "WALKING" "timeBodyaccmagMean" -0.158338674394643
"99" "5" "WALKING" "timeBodyaccmagStd" -0.377178733392857
"100" "5" "WALKING" "timeGravityaccmagMean" -0.158338674394643
"101" "5" "WALKING" "timeGravityaccmagStd" -0.377178733392857
"102" "5" "WALKING" "timeBodyaccjerkmagMean" -0.288333024071429
"103" "5" "WALKING" "timeBodyaccjerkmagStd" -0.282242276785714
"104" "5" "WALKING" "timeBodygyromagMean" -0.355933083571429
"105" "5" "WALKING" "timeBodygyromagStd" -0.492176823571429
"106" "5" "WALKING" "timeBodygyrojerkmagMean" -0.444532485357143
"107" "5" "WALKING" "timeBodygyrojerkmagStd" -0.48919974625
"108" "5" "WALKING" "frequencyBodyaccMeanx" -0.287782607410714
"109" "5" "WALKING" "frequencyBodyaccMeany" 0.00946037755178572
"110" "5" "WALKING" "frequencyBodyaccMeanz" -0.490251090714286
"111" "5" "WALKING" "frequencyBodyaccStdx" -0.297517355196429
"112" "5" "WALKING" "frequencyBodyaccStdy" 0.0426026830839286
"113" "5" "WALKING" "frequencyBodyaccStdz" -0.483059957321429
"114" "5" "WALKING" "frequencyBodyaccjerkMeanx" -0.344954806428571
"115" "5" "WALKING" "frequencyBodyaccjerkMeany" -0.181055554206071
"116" "5" "WALKING" "frequencyBodyaccjerkMeanz" -0.590496615535714
"117" "5" "WALKING" "frequencyBodyaccjerkStdx" -0.3213903195
"118" "5" "WALKING" "frequencyBodyaccjerkStdy" -0.0545213604089286
"119" "5" "WALKING" "frequencyBodyaccjerkStdz" -0.633429995714286
"120" "5" "WALKING" "frequencyBodygyroMeanx" -0.372668749642857
"121" "5" "WALKING" "frequencyBodygyroMeany" -0.513951718392857
"122" "5" "WALKING" "frequencyBodygyroMeanz" -0.213127031035714
"123" "5" "WALKING" "frequencyBodygyroStdx" -0.529392790178571
"124" "5" "WALKING" "frequencyBodygyroStdy" -0.502683380535714
"125" "5" "WALKING" "frequencyBodygyroStdz" -0.420367075178571
"126" "5" "WALKING" "frequencyBodyaccmagMean" -0.304992488892857
"127" "5" "WALKING" "frequencyBodyaccmagStd" -0.519636926071429
"128" "5" "WALKING" "frequencyBodybodyaccjerkmagMean" -0.269481661080357
"129" "5" "WALKING" "frequencyBodybodyaccjerkmagStd" -0.305685376071429
"130" "5" "WALKING" "frequencyBodybodygyromagMean" -0.484262828928571
"131" "5" "WALKING" "frequencyBodybodygyromagStd" -0.589741506785714
"132" "5" "WALKING" "frequencyBodybodygyrojerkmagMean" -0.548053574821429
"133" "5" "WALKING" "frequencyBodybodygyrojerkmagStd" -0.455665300892857
"134" "6" "WALKING" "timeBodyaccMeanx" 0.283658868070175
"135" "6" "WALKING" "timeBodyaccMeany" -0.0168954189082456
"136" "6" "WALKING" "timeBodyaccMeanz" -0.110303165877193
"137" "6" "WALKING" "timeBodyaccStdx" -0.296538717368421
"138" "6" "WALKING" "timeBodyaccStdy" 0.164213884996491
"139" "6" "WALKING" "timeBodyaccStdz" -0.504324207192982
"140" "6" "WALKING" "timeGravityaccMeanx" 0.958067455087719
"141" "6" "WALKING" "timeGravityaccMeany" -0.214694852280702
"142" "6" "WALKING" "timeGravityaccMeanz" 0.0331888826842105
"143" "6" "WALKING" "timeGravityaccStdx" -0.977779896491228
"144" "6" "WALKING" "timeGravityaccStdy" -0.964248568070175
"145" "6" "WALKING" "timeGravityaccStdz" -0.957205025789474
"146" "6" "WALKING" "timeBodyaccjerkMeanx" 0.0699585876912281
"147" "6" "WALKING" "timeBodyaccjerkMeany" -0.0164831715964912
"148" "6" "WALKING" "timeBodyaccjerkMeanz" -0.00738931200701754
"149" "6" "WALKING" "timeBodyaccjerkStdx" -0.132784766936842
"150" "6" "WALKING" "timeBodyaccjerkStdy" 0.00808897373684211
"151" "6" "WALKING" "timeBodyaccjerkStdz" -0.575777466491228
"152" "6" "WALKING" "timeBodygyroMeanx" -0.025509618645614
"153" "6" "WALKING" "timeBodygyroMeany" -0.0744462466
"154" "6" "WALKING" "timeBodygyroMeanz" 0.0838808799280702
"155" "6" "WALKING" "timeBodygyroStdx" -0.446020952631579
"156" "6" "WALKING" "timeBodygyroStdy" -0.331702267894737
"157" "6" "WALKING" "timeBodygyroStdz" -0.383139334736842
"158" "6" "WALKING" "timeBodygyrojerkMeanx" -0.0878891090105263
"159" "6" "WALKING" "timeBodygyrojerkMeany" -0.0362308971842105
"160" "6" "WALKING" "timeBodygyrojerkMeanz" -0.0539597284210526
"161" "6" "WALKING" "timeBodygyrojerkStdx" -0.18260093354386
"162" "6" "WALKING" "timeBodygyrojerkStdy" -0.416390246140351
"163" "6" "WALKING" "timeBodygyrojerkStdz" -0.166684422233333
"164" "6" "WALKING" "timeBodyaccmagMean" -0.166840713631579
"165" "6" "WALKING" "timeBodyaccmagStd" -0.266734167368421
"166" "6" "WALKING" "timeGravityaccmagMean" -0.166840713631579
"167" "6" "WALKING" "timeGravityaccmagStd" -0.266734167368421
"168" "6" "WALKING" "timeBodyaccjerkmagMean" -0.195117026052632
"169" "6" "WALKING" "timeBodyaccjerkmagStd" -0.0706029648421053
"170" "6" "WALKING" "timeBodygyromagMean" -0.281207841122807
"171" "6" "WALKING" "timeBodygyromagStd" -0.36560291677193
"172" "6" "WALKING" "timeBodygyrojerkmagMean" -0.321290483140351
"173" "6" "WALKING" "timeBodygyrojerkmagStd" -0.364708342315789
"174" "6" "WALKING" "frequencyBodyaccMeanx" -0.187934323140351
"175" "6" "WALKING" "frequencyBodyaccMeany" 0.140781621991228
"176" "6" "WALKING" "frequencyBodyaccMeanz" -0.498520164385965
"177" "6" "WALKING" "frequencyBodyaccStdx" -0.34522769
"178" "6" "WALKING" "frequencyBodyaccStdy" 0.101699642168947
"179" "6" "WALKING" "frequencyBodyaccStdz" -0.550474621754386
"180" "6" "WALKING" "frequencyBodyaccjerkMeanx" -0.150942917824561
"181" "6" "WALKING" "frequencyBodyaccjerkMeany" -0.0753742321614035
"182" "6" "WALKING" "frequencyBodyaccjerkMeanz" -0.541438616140351
"183" "6" "WALKING" "frequencyBodyaccjerkStdx" -0.19269469414386
"184" "6" "WALKING" "frequencyBodyaccjerkStdy" 0.0314450678263158
"185" "6" "WALKING" "frequencyBodyaccjerkStdz" -0.608624354210526
"186" "6" "WALKING" "frequencyBodygyroMeanx" -0.239650710533333
"187" "6" "WALKING" "frequencyBodygyroMeany" -0.341378429473684
"188" "6" "WALKING" "frequencyBodygyroMeanz" -0.203575458733333
"189" "6" "WALKING" "frequencyBodygyroStdx" -0.515323854385965
"190" "6" "WALKING" "frequencyBodygyroStdy" -0.332008706842105
"191" "6" "WALKING" "frequencyBodygyroStdz" -0.512209233508772
"192" "6" "WALKING" "frequencyBodyaccmagMean" -0.201386607649123
"193" "6" "WALKING" "frequencyBodyaccmagStd" -0.421683093508772
"194" "6" "WALKING" "frequencyBodybodyaccjerkmagMean" -0.055401423331579
"195" "6" "WALKING" "frequencyBodybodyaccjerkmagStd" -0.0964999702982456
"196" "6" "WALKING" "frequencyBodybodygyromagMean" -0.329681123368421
"197" "6" "WALKING" "frequencyBodybodygyromagStd" -0.510648322631579
"198" "6" "WALKING" "frequencyBodybodygyrojerkmagMean" -0.366500534122807
"199" "6" "WALKING" "frequencyBodybodygyrojerkmagStd" -0.408078906482456
"200" "23" "WALKING" "timeBodyaccMeanx" 0.273211884237288
"201" "23" "WALKING" "timeBodyaccMeany" -0.0183618711932203
"202" "23" "WALKING" "timeBodyaccMeanz" -0.113382994084746
"203" "23" "WALKING" "timeBodyaccStdx" -0.313521773389831
"204" "23" "WALKING" "timeBodyaccStdy" -0.119020586510678
"205" "23" "WALKING" "timeBodyaccStdz" 0.164220685383051
"206" "23" "WALKING" "timeGravityaccMeanx" 0.939809688644068
"207" "23" "WALKING" "timeGravityaccMeany" -0.16176137
"208" "23" "WALKING" "timeGravityaccMeanz" -0.160763360338983
"209" "23" "WALKING" "timeGravityaccStdx" -0.977230903898305
"210" "23" "WALKING" "timeGravityaccStdy" -0.966550706949153
"211" "23" "WALKING" "timeGravityaccStdz" -0.932981341864407
"212" "23" "WALKING" "timeBodyaccjerkMeanx" 0.0987319085964407
"213" "23" "WALKING" "timeBodyaccjerkMeany" 0.0148955926864407
"214" "23" "WALKING" "timeBodyaccjerkMeanz" -0.00190810641525424
"215" "23" "WALKING" "timeBodyaccjerkStdx" -0.229328122305085
"216" "23" "WALKING" "timeBodyaccjerkStdy" -0.0805017337711864
"217" "23" "WALKING" "timeBodyaccjerkStdz" -0.0293115056033898
"218" "23" "WALKING" "timeBodygyroMeanx" -0.0631156870355932
"219" "23" "WALKING" "timeBodygyroMeany" -0.0640197920966102
"220" "23" "WALKING" "timeBodygyroMeanz" 0.10770045065339
"221" "23" "WALKING" "timeBodygyroStdx" -0.494322648644068
"222" "23" "WALKING" "timeBodygyroStdy" 0.25945722920339
"223" "23" "WALKING" "timeBodygyroStdz" -0.209634887972881
"224" "23" "WALKING" "timeBodygyrojerkMeanx" -0.0578128239067797
"225" "23" "WALKING" "timeBodygyrojerkMeany" -0.0516704755661017
"226" "23" "WALKING" "timeBodygyrojerkMeanz" -0.0903002524369492
"227" "23" "WALKING" "timeBodygyrojerkStdx" -0.363969434576271
"228" "23" "WALKING" "timeBodygyrojerkStdy" 0.295945926186441
"229" "23" "WALKING" "timeBodygyrojerkStdz" -0.374456768135593
"230" "23" "WALKING" "timeBodyaccmagMean" -0.0988770198220339
"231" "23" "WALKING" "timeBodyaccmagStd" -0.209989354570847
"232" "23" "WALKING" "timeGravityaccmagMean" -0.0988770198220339
"233" "23" "WALKING" "timeGravityaccmagStd" -0.209989354570847
"234" "23" "WALKING" "timeBodyaccjerkmagMean" -0.0670819655881356
"235" "23" "WALKING" "timeBodyaccjerkmagStd" -0.0268194363050847
"236" "23" "WALKING" "timeBodygyromagMean" -0.0120968259523729
"237" "23" "WALKING" "timeBodygyromagStd" 0.163346451623729
"238" "23" "WALKING" "timeBodygyrojerkmagMean" 0.0115305410508475
"239" "23" "WALKING" "timeBodygyrojerkmagStd" 0.250173204117966
"240" "23" "WALKING" "frequencyBodyaccMeanx" -0.275404187920339
"241" "23" "WALKING" "frequencyBodyaccMeany" -0.0724367317966102
"242" "23" "WALKING" "frequencyBodyaccMeanz" 0.0814081078542373
"243" "23" "WALKING" "frequencyBodyaccStdx" -0.329807279830508
"244" "23" "WALKING" "frequencyBodyaccStdy" -0.202524061966102
"245" "23" "WALKING" "frequencyBodyaccStdz" 0.1161434407
"246" "23" "WALKING" "frequencyBodyaccjerkMeanx" -0.290410454881356
"247" "23" "WALKING" "frequencyBodyaccjerkMeany" -0.155488720747458
"248" "23" "WALKING" "frequencyBodyaccjerkMeanz" -0.0572021324745763
"249" "23" "WALKING" "frequencyBodyaccjerkStdx" -0.235172990305085
"250" "23" "WALKING" "frequencyBodyaccjerkStdy" -0.0609753095355932
"251" "23" "WALKING" "frequencyBodyaccjerkStdz" -0.00623647528983051
"252" "23" "WALKING" "frequencyBodygyroMeanx" -0.337619203050847
"253" "23" "WALKING" "frequencyBodygyroMeany" 0.195569461920339
"254" "23" "WALKING" "frequencyBodygyroMeanz" -0.194970369294915
"255" "23" "WALKING" "frequencyBodygyroStdx" -0.545051691694915
"256" "23" "WALKING" "frequencyBodygyroStdy" 0.286581518449153
"257" "23" "WALKING" "frequencyBodygyroStdz" -0.287820868152542
"258" "23" "WALKING" "frequencyBodyaccmagMean" -0.0942606311677966
"259" "23" "WALKING" "frequencyBodyaccmagStd" -0.407577515762712
"260" "23" "WALKING" "frequencyBodybodyaccjerkmagMean" -0.0180705701559322
"261" "23" "WALKING" "frequencyBodybodyaccjerkmagStd" -0.0457372334118644
"262" "23" "WALKING" "frequencyBodybodygyromagMean" 0.185078207383051
"263" "23" "WALKING" "frequencyBodybodygyromagStd" -0.061476584759322
"264" "23" "WALKING" "frequencyBodybodygyrojerkmagMean" 0.146618569064407
"265" "23" "WALKING" "frequencyBodybodygyrojerkmagStd" 0.287834616098305
"266" "11" "WALKING" "timeBodyaccMeanx" 0.271821892881356
"267" "11" "WALKING" "timeBodyaccMeany" -0.0166475833623729
"268" "11" "WALKING" "timeBodyaccMeanz" -0.106096304033898
"269" "11" "WALKING" "timeBodyaccStdx" -0.422842071864407
"270" "11" "WALKING" "timeBodyaccStdy" -0.0522120750440678
"271" "11" "WALKING" "timeBodyaccStdz" -0.530626311355932
"272" "11" "WALKING" "timeGravityaccMeanx" 0.946468451355932
"273" "11" "WALKING" "timeGravityaccMeany" -0.212045870169492
"274" "11" "WALKING" "timeGravityaccMeanz" 0.134053215101695
"275" "11" "WALKING" "timeGravityaccStdx" -0.98110101440678
"276" "11" "WALKING" "timeGravityaccStdy" -0.966240553559322
"277" "11" "WALKING" "timeGravityaccStdz" -0.960852684067797
"278" "11" "WALKING" "timeBodyaccjerkMeanx" 0.0829709328491525
"279" "11" "WALKING" "timeBodyaccjerkMeany" 0.0127682476559322
"280" "11" "WALKING" "timeBodyaccjerkMeanz" -0.013364827779661
"281" "11" "WALKING" "timeBodyaccjerkStdx" -0.428516343559322
"282" "11" "WALKING" "timeBodyaccjerkStdy" -0.181419230254237
"283" "11" "WALKING" "timeBodyaccjerkStdz" -0.720654731186441
"284" "11" "WALKING" "timeBodygyroMeanx" -0.0426928995457627
"285" "11" "WALKING" "timeBodygyroMeany" -0.0705104974254237
"286" "11" "WALKING" "timeBodygyroMeanz" 0.0843744495507542
"287" "11" "WALKING" "timeBodygyroStdx" -0.596346930847458
"288" "11" "WALKING" "timeBodygyroStdy" -0.499625287288136
"289" "11" "WALKING" "timeBodygyroStdz" -0.434178202542373
"290" "11" "WALKING" "timeBodygyrojerkMeanx" -0.0918204195491525
"291" "11" "WALKING" "timeBodygyrojerkMeany" -0.0514172549559322
"292" "11" "WALKING" "timeBodygyrojerkMeanz" -0.0342677451
"293" "11" "WALKING" "timeBodygyrojerkStdx" -0.541616397118644
"294" "11" "WALKING" "timeBodygyrojerkStdy" -0.737993755932203
"295" "11" "WALKING" "timeBodygyrojerkStdz" -0.551079942542373
"296" "11" "WALKING" "timeBodyaccmagMean" -0.288323472033898
"297" "11" "WALKING" "timeBodyaccmagStd" -0.487735915084746
"298" "11" "WALKING" "timeGravityaccmagMean" -0.288323472033898
"299" "11" "WALKING" "timeGravityaccmagStd" -0.487735915084746
"300" "11" "WALKING" "timeBodyaccjerkmagMean" -0.402333202033898
"301" "11" "WALKING" "timeBodyaccjerkmagStd" -0.403141284745763
"302" "11" "WALKING" "timeBodygyromagMean" -0.421801673559322
"303" "11" "WALKING" "timeBodygyromagStd" -0.558362783220339
"304" "11" "WALKING" "timeBodygyrojerkmagMean" -0.63073270559322
"305" "11" "WALKING" "timeBodygyrojerkmagStd" -0.753671416101695
"306" "11" "WALKING" "frequencyBodyaccMeanx" -0.396533731864407
"307" "11" "WALKING" "frequencyBodyaccMeany" -0.0830478435976271
"308" "11" "WALKING" "frequencyBodyaccMeanz" -0.616402910169492
"309" "11" "WALKING" "frequencyBodyaccStdx" -0.433703311525424
"310" "11" "WALKING" "frequencyBodyaccStdy" -0.0966068285372881
"311" "11" "WALKING" "frequencyBodyaccStdz" -0.523093394915254
"312" "11" "WALKING" "frequencyBodyaccjerkMeanx" -0.453265268813559
"313" "11" "WALKING" "frequencyBodyaccjerkMeany" -0.241801726186441
"314" "11" "WALKING" "frequencyBodyaccjerkMeanz" -0.69259387220339
"315" "11" "WALKING" "frequencyBodyaccjerkStdx" -0.45394304
"316" "11" "WALKING" "frequencyBodyaccjerkStdy" -0.170177403123729
"317" "11" "WALKING" "frequencyBodyaccjerkStdz" -0.747564612033898
"318" "11" "WALKING" "frequencyBodygyroMeanx" -0.514753307627119
"319" "11" "WALKING" "frequencyBodygyroMeany" -0.593107398474576
"320" "11" "WALKING" "frequencyBodygyroMeanz" -0.398293336610169
"321" "11" "WALKING" "frequencyBodygyroStdx" -0.623150268983051
"322" "11" "WALKING" "frequencyBodygyroStdy" -0.453663184067797
"323" "11" "WALKING" "frequencyBodygyroStdz" -0.498554639491525
"324" "11" "WALKING" "frequencyBodyaccmagMean" -0.458514062542373
"325" "11" "WALKING" "frequencyBodyaccmagStd" -0.584455992033898
"326" "11" "WALKING" "frequencyBodybodyaccjerkmagMean" -0.395116134237288
"327" "11" "WALKING" "frequencyBodybodyaccjerkmagStd" -0.41744681559322
"328" "11" "WALKING" "frequencyBodybodygyromagMean" -0.610222628813559
"329" "11" "WALKING" "frequencyBodybodygyromagStd" -0.59974543779661
"330" "11" "WALKING" "frequencyBodybodygyrojerkmagMean" -0.751914457457627
"331" "11" "WALKING" "frequencyBodybodygyrojerkmagStd" -0.773574064745763
"332" "10" "WALKING" "timeBodyaccMeanx" 0.278574076603774
"333" "10" "WALKING" "timeBodyaccMeany" -0.017022351190566
"334" "10" "WALKING" "timeBodyaccMeanz" -0.109057512132075
"335" "10" "WALKING" "timeBodyaccStdx" -0.178709734396226
"336" "10" "WALKING" "timeBodyaccStdy" -0.0227431651698113
"337" "10" "WALKING" "timeBodyaccStdz" -0.395645072075472
"338" "10" "WALKING" "timeGravityaccMeanx" 0.963092149811321
"339" "10" "WALKING" "timeGravityaccMeany" -0.0838277013962264
"340" "10" "WALKING" "timeGravityaccMeanz" 0.0549276242264151
"341" "10" "WALKING" "timeGravityaccStdx" -0.974435158113208
"342" "10" "WALKING" "timeGravityaccStdy" -0.971114719811321
"343" "10" "WALKING" "timeGravityaccStdz" -0.957862728301887
"344" "10" "WALKING" "timeBodyaccjerkMeanx" 0.0857943809283019
"345" "10" "WALKING" "timeBodyaccjerkMeany" 0.00408248792641509
"346" "10" "WALKING" "timeBodyaccjerkMeanz" -0.0162953195396226
"347" "10" "WALKING" "timeBodyaccjerkStdx" -0.0521991013207547
"348" "10" "WALKING" "timeBodyaccjerkStdy" 0.0750804952113207
"349" "10" "WALKING" "timeBodyaccjerkStdz" -0.511662905849057
"350" "10" "WALKING" "timeBodygyroMeanx" 0.0106894976215094
"351" "10" "WALKING" "timeBodygyroMeany" -0.0819540783760943
"352" "10" "WALKING" "timeBodygyroMeanz" 0.0986695731160377
"353" "10" "WALKING" "timeBodygyroStdx" -0.414205475283019
"354" "10" "WALKING" "timeBodygyroStdy" -0.250853318679245
"355" "10" "WALKING" "timeBodygyroStdz" -0.174524868603774
"356" "10" "WALKING" "timeBodygyrojerkMeanx" -0.122709563462264
"357" "10" "WALKING" "timeBodygyrojerkMeany" -0.0519204981037736
"358" "10" "WALKING" "timeBodygyrojerkMeanz" -0.0611262928849057
"359" "10" "WALKING" "timeBodygyrojerkStdx" -0.366063723207547
"360" "10" "WALKING" "timeBodygyrojerkStdy" -0.509683327924528
"361" "10" "WALKING" "timeBodygyrojerkStdz" -0.329079492641509
"362" "10" "WALKING" "timeBodyaccmagMean" -0.127400912069811
"363" "10" "WALKING" "timeBodyaccmagStd" -0.185602396067925
"364" "10" "WALKING" "timeGravityaccmagMean" -0.127400912069811
"365" "10" "WALKING" "timeGravityaccmagStd" -0.185602396067925
"366" "10" "WALKING" "timeBodyaccjerkmagMean" -0.132624992298283
"367" "10" "WALKING" "timeBodyaccjerkmagStd" 0.037608338009434
"368" "10" "WALKING" "timeBodygyromagMean" -0.156458730358491
"369" "10" "WALKING" "timeBodygyromagStd" -0.402025135660377
"370" "10" "WALKING" "timeBodygyrojerkmagMean" -0.440363636603774
"371" "10" "WALKING" "timeBodygyrojerkmagStd" -0.501027916603774
"372" "10" "WALKING" "frequencyBodyaccMeanx" -0.114190001283019
"373" "10" "WALKING" "frequencyBodyaccMeany" 0.0533911909886792
"374" "10" "WALKING" "frequencyBodyaccMeanz" -0.41218272245283
"375" "10" "WALKING" "frequencyBodyaccStdx" -0.206366497226415
"376" "10" "WALKING" "frequencyBodyaccStdy" -0.129775706316981
"377" "10" "WALKING" "frequencyBodyaccStdz" -0.435304215660377
"378" "10" "WALKING" "frequencyBodyaccjerkMeanx" -0.107941107467925
"379" "10" "WALKING" "frequencyBodyaccjerkMeany" 0.0309052018326415
"380" "10" "WALKING" "frequencyBodyaccjerkMeanz" -0.464020508867925
"381" "10" "WALKING" "frequencyBodyaccjerkStdx" -0.0791518267107547
"382" "10" "WALKING" "frequencyBodyaccjerkStdy" 0.0484867672264151
"383" "10" "WALKING" "frequencyBodyaccjerkStdz" -0.558512650188679
"384" "10" "WALKING" "frequencyBodygyroMeanx" -0.277913780754717
"385" "10" "WALKING" "frequencyBodygyroMeany" -0.345209034528302
"386" "10" "WALKING" "frequencyBodygyroMeanz" -0.108530029881132
"387" "10" "WALKING" "frequencyBodygyroStdx" -0.458292932830189
"388" "10" "WALKING" "frequencyBodygyroStdy" -0.204392821584906
"389" "10" "WALKING" "frequencyBodygyroStdz" -0.273292866226415
"390" "10" "WALKING" "frequencyBodyaccmagMean" -0.0930237422792453
"391" "10" "WALKING" "frequencyBodyaccmagStd" -0.370471943962264
